id,notes,original_zip,match_kind,state_code,county_code,tract_code,block_code,RRF Award Amount ,No of months of assistance,Rent owing,RRF Award Type ,Mthly Self Employment,Mthly Unemployment,Mthly Interest or Dividend,Mthly Pension or Retirement,Mthly TANF/Public Assistance,Mthly Alimony income,Mthly Armed Forces income,Mthly Other income
7,,2119,Exact,25,25,81400,3003,6000,,9444,,,,,,,,,
8,,2124,Exact,25,25,100300,3005,5700,3,1900,Arrears & Future payments,,2140,,,,,,
56,,2119,Exact,25,25,80100,1051,3750,6,4375,Arrears,,,,,,,,
63,,2128,Exact,25,25,51200,3000,4000,1,4000,Arrears & Future payments,,,,,,530,,
75,,2128,Exact,25,25,50101,3001,6000,,7900,Arrears,800,,,,,,,
102,,2128,Exact,25,25,50700,3005,6000,,7600,Arrears,,,,,,,,
133,,2128,Exact,25,25,50700,1003,2000,,1404,Future payments,,0,,,,,,
154,,2124,Exact,25,25,100500,5005,2350,,4000,Arrears,,1152,,,,,,
161,,2127,Exact,25,25,60800,3000,3600,3,4800,,,1400,,,,,,
269,,2128,Exact,25,25,50500,1003,4950,3,3300,,,1116,,,,,,
314,,2124,Exact,25,25,100601,3011,6000,3,0,Arrears & Future payments,,1864,,,,,,
410,,2121,Exact,25,25,91900,2002,,,12362,,,,,,,,,
426,,2131,Exact,25,25,110607,3000,4000,3,9116,,,200,,,,,,
440,,2128,Exact,25,25,50901,2003,6000,,4500,Arrears & Future payments,,,,,,384,,
534,,2124,Exact,25,25,92300,3008,6000,,10703,Arrears,,,,,,,,
806,,2126,Exact,25,25,101102,3002,4000,2,0,,,1068,,,,,,
814,,2111,Exact,25,25,70103,1001,4170,3,0,Future payments,,3320,,,,,,
815,,2121,Exact,25,25,90300,2006,3200,2,1600,Arrears & Future payments,,,,,,,,
889,,2119,Exact,25,25,81500,2004,2718,,3618,,0,0,0,0,0,0,0,0
1006,,2128,Exact,25,25,50101,1002,6000,3,7200,Arrears,0,0,0,0,,,,
1012,,2128,Exact,25,25,50300,3002,6000,,6518,Arrears,500,1290,,,,,,
1057,,2125,Exact,25,25,91300,1004,4000,2,4000,,,,,,,,,
1135,,2128,Exact,25,25,50200,4001,6000,3,6000,Arrears,,,,,,,,
1140,,2126,Exact,25,25,101101,3008,5250,3,3000,Arrears,,,,,,,,
1243,,2126,Exact,25,25,101001,5001,6000,,16450,Arrears,,,,,,,,
1288,,2124,Exact,25,25,100200,3006,4000,2,4100,,,,,802.58,,,,
1367,,2122,Exact,25,25,100700,1004,3000,3,0,Future payments,,,,,,,,
1384,,2136,Exact,25,25,140400,5006,1800,1,2000,Arrears,,300,,,,,,
1568,,2128,Exact,25,25,51200,2001,4000,3,1500,Arrears & Future payments,,,,,,,,
1596,,2119,Exact,25,25,80401,2003,4000,3,1724,Arrears & Future payments,,,,,,,,
1606,,2128,Exact,25,25,50200,2002,6000,5,3985,Arrears & Future payments,,,,,,,250,
1613,,2130,Exact,25,25,81101,2000,4929,3,2000,Arrears & Future payments,,,,,,,,
1659,,2128,Exact,25,25,50101,3005,3411,3,0,Arrears & Future payments,,1284,,,,,,
1705,,2128,Exact,25,25,51000,2010,6000,2,2750,Arrears & Future payments,,,,,,,,633
1787,,2136,Exact,25,25,140400,6001,4000,,2312,Arrears & Future payments,,,,,,,,
1789,,2118,Exact,25,25,70402,1010,3648,,2250,,,1212,,,,,,
1841,,2128,Exact,25,25,50200,4002,6000,1,7200,Arrears,2,0,0,0,0,0,0,
1867,,2128,Exact,25,25,50101,3005,5040,4,0,Arrears,,,,,,,,
1887,,2121,Exact,25,25,90100,2004,6000,2,4522,Arrears & Future payments,,,,,,,,
1894,,2128,Exact,25,25,50700,3005,5200,1,3900,Arrears & Future payments,,1724,,,,,,
1936,,2128,Exact,25,25,51101,1004,6000,3,0,Arrears,,,,,,,,
2044,,2128,Exact,25,25,50300,3002,4200,6,5600,Arrears,,,,,,,,
2151,,2128,Exact,25,25,50200,1006,5670,3,5670,Future payments,,,,,,,,
2177,,2135,Exact,25,25,401,4004,5310,2,1755,Arrears & Future payments,,,,,,,,
2244,,2128,Exact,25,25,50901,2006,6000,3,4100,Arrears & Future payments,,,,,,,,
2248,,2119,Exact,25,25,81700,3011,6000,,8100,Arrears,,,,,,,,
2279,,2215,Exact,25,25,10205,3000,2984,2,1492,Arrears & Future payments,,1960,,,,,,
2294,,2128,Exact,25,25,51000,3002,3200,4,1600,Arrears,,,,,,,,
2370,,2128,Exact,25,25,50600,2007,4800,3,4800,Arrears,,,,,,,,
2408,,2121,Exact,25,25,90200,1001,4000,2,3250,Arrears,,,,,,,,
2430,,2128,Exact,25,25,50700,3003,,,6000,,0,0,0,0,0,0,0,0
2509,,2128,Exact,25,25,50101,3002,2800,4,1400,,,,,,,,,
2653,,2134,Exact,25,25,604,2001,4020,2,0,Arrears,,1720,,,,,,
2654,,2126,Exact,25,25,101002,1003,5200,2,25000,Arrears,,267,,,,,,2194
2682,,2134,Exact,25,25,805,2004,4000,3,700,Arrears & Future payments,,,,,,,,
2727,,2136,Exact,25,25,140300,3007,4000,2,4200,Arrears,,1068,,,,,,1068
2832,,2128,Exact,25,25,50500,1003,4500,3,4500,,1600,,,,,,,
2884,,2132,Exact,25,25,130200,1000,2000,1,2000,Arrears,,,,,,3371,,
2938,,2136,Exact,25,25,140107,2000,4000,1,2500,Arrears,,,,,,,,
2952,,2128,Exact,25,25,50200,4001,3750,3,2500,Arrears,,,,,,,,
3029,,2128,Exact,25,25,51000,3002,3949,3,1560,Arrears,,1800,,,,,,
3186,,2124,Exact,25,25,100400,1003,6000,2,1300,Arrears & Future payments,,,,,,,,
3191,,2119,Exact,25,25,80401,2003,,,6289.7,,,,,,,,1500,
3196,,2128,Exact,25,25,51200,1004,4000,3,1295,Arrears,,1988,,,,,,
3242,,2126,Exact,25,25,101002,2014,6000,,4500,,,,,,,,,
3289,,2125,Exact,25,25,91300,1008,4000,2,2000,,,1420,,,,,,
3339,,2124,Exact,25,25,100300,1007,3800,,5700,Arrears,3100,,,,,,,
3340,,2129,Exact,25,25,40300,3001,4000,2,2000,,,195,,,,,,
3353,,2111,Exact,25,25,70103,1001,,,5820,,,,,,,,,
3356,,2114,Exact,25,25,20302,1000,4290,,4290,,,3292,,,,,,
3380,,2136,Exact,25,25,140300,1003,3025,,1988,,,1340,,,,,,
3394,,2125,Exact,25,25,91500,1003,6000,,6000,Arrears,,1922,,,,,,
3459,,2128,Exact,25,25,51200,3000,5477,4,3000,Arrears & Future payments,,,,,,,,
3474,,2111,Exact,25,25,70202,1022,2704,2,1359,Arrears & Future payments,,,,,,,,
3612,,2132,Exact,25,25,130300,2000,4200,3,2800,Arrears,,,,,,,,
3672,,2128,Exact,25,25,50700,1003,,,15400,,,,,,,,,
3676,,2122,Exact,25,25,91700,1003,4000,3,1540,Arrears & Future payments,,,,,,,,
3678,,2128,Exact,25,25,50200,3000,2050,1,2000,Arrears,,,,,,,,
3717,,2128,Exact,25,25,50101,2005,3750,3,0,Arrears & Future payments,,,,,,,,
3812,,2128,Exact,25,25,50400,1003,4000,4,3000,Arrears,,,,,,,,
4097,,2134,Exact,25,25,703,2006,,,6769,,,,,,,,,
4175,,2125,Exact,25,25,91400,1001,4000,2,2687,Arrears & Future payments,,,,,,,,
4182,,2122,Exact,25,25,92101,3013,6000,6,6000,Arrears,0,850,0,0,0,0,0,0
4197,,2136,Exact,25,25,140400,6001,,,0,,,,,,,,,
4214,,2129,Exact,25,25,40801,3001,2132,,0,Arrears,,,,,,,,
4285,,2119,Exact,25,25,81302,1001,3645,3,3000,Arrears,,1168,,,,,,
4337,,2128,Exact,25,25,50300,2004,6000,3,7989,,,0,,,,,,
4339,,2125,Exact,25,25,90400,4003,6000,5,7200,Arrears,,1365,,,,,,
4466,,2128,Exact,25,25,50500,1005,2000,,2200,Arrears,,,,,,,,
4472,,2128,Exact,25,25,50200,4002,6000,,6000,Arrears,,,,,,,,
4482,,2113,Exact,25,25,30400,1004,3300,3,1100,Arrears,,823,,,,,,
4497,,2119,Exact,25,25,81301,2001,5667.25,4,4303.75,Arrears,,,,,,,,
4560,,2128,Exact,25,25,51000,1018,2000,,5600,Arrears,0,0,0,0,0,0,0,0
4658,,2126,Exact,25,25,101002,3008,4000,,4000,Arrears,,1000,,,,,,
4659,,2124,Exact,25,25,92000,4005,2900,2,1450,Arrears,,,,,,,,
4852,,2127,Exact,25,25,60101,2001,4500,4,3000,Arrears,,,,,,,,
4907,,2125,Exact,25,25,91500,1002,4000,3,4800,,,1136,,,,,,
4941,,2128,Exact,25,25,50700,3004,6000,,6000,Arrears,,,,,,,,
4949,,2128,Exact,25,25,50101,3000,4000,2,4000,,,,,,,,,
4965,,2128,Exact,25,25,50200,1006,5100,3,3400,Arrears,,,,,,,,
5124,,2125,Exact,25,25,90901,2008,6000,4,8700,,,912,,,,,,300
5136,,2128,Exact,25,25,50600,2001,6000,3,7025,Arrears,2074,,,,,,,
5192,,2128,Exact,25,25,50901,2005,2400,3,0,,,,,,,,,
5269,,2122,Exact,25,25,100700,4005,6000,,6000,Arrears,,,,,,,,
5275,,2121,Exact,25,25,82100,1006,1490,,700,,,,,,,,,900
5287,,2118,Exact,25,25,70901,1004,4200,6,2100,Arrears,,,,,,,,
5369,,2125,Exact,25,25,90400,4000,2848,3,0,Arrears,,,,,,,,
5389,,2128,Exact,25,25,51101,1000,4000,,7500,Arrears,,,,,900,,,
5390,,2128,Exact,25,25,50200,1005,4000,2,3400,Arrears & Future payments,,,,,,,,
5449,,2136,Exact,25,25,140400,1000,4000,3,7797,Arrears,,,,,,,,
5459,,2125,Exact,25,25,91800,1002,6000,,6500,,,,,,,,,
5500,,2128,Exact,25,25,50200,2004,5700,2,3800,Arrears,,292,,,,,,
5532,,2124,Exact,25,25,100800,1003,6000,6,4000,Arrears,,2000,,,,,,
5601,,2119,Exact,25,25,81400,2003,4000,4,11000,,,632,,,,,,
5635,,2128,Exact,25,25,50101,3002,,,1700,,,,,,,,,
5670,,2128,Exact,25,25,51101,4004,6000,3,4000,Arrears,,1368,,,,,,
5727,,2128,Exact,25,25,50901,1007,6000,3,9600,Arrears,,,,,,,,
5768,,2134,Exact,25,25,806,2000,6000,,4554,,,0,,,,,,
5853,,2124,Exact,25,25,92300,3006,6000,,5000,,,1200,,,,,,
5881,,2125,Exact,25,25,91400,1001,6000,,10179,,,,,,,,,
5928,,2124,Exact,25,25,100100,3004,6000,5,6925,Arrears,,,,,,,,
5946,,2128,Exact,25,25,51200,2003,6000,3,1500,Arrears,1500,,,,,,,
5968,,2121,Exact,25,25,81900,4004,4000,3,1800,Arrears & Future payments,,1027,,,,,,
6061,,2128,Exact,25,25,51000,1010,4000,2,2000,Arrears & Future payments,0,,,,,,,
6071,,2128,Exact,25,25,50400,2006,6000,,8300,Arrears,,,,,,,,
6072,,2125,Exact,25,25,90700,4010,3622,5,1500,Arrears & Future payments,,396,,,,,,
6074,,2125,Exact,25,25,90400,4004,6000,,1,,,2024,,,,,,
6079,,2126,Exact,25,25,101002,3000,6000,3,5235,,,,,,,,,
6314,,2136,Exact,25,25,140300,6005,3207,2,2000,,,896,,,,,,
6372,,2132,Exact,25,25,130404,1002,4000,1,2500,Arrears & Future payments,,,,,,,,
6632,,2126,Exact,25,25,101102,4004,6000,6,12300,Arrears,,,,,,,,
6710,,2128,Exact,25,25,50901,3006,2100,2,0,Arrears,,,,,,,,
6776,,2125,Exact,25,25,90700,1003,4000,,6400,Arrears,,,,,,,,
6786,,2128,Exact,25,25,51200,2001,2000,1,4950,Arrears,,1012,,,,,,
6884,,2134,Exact,25,25,704,3002,6000,3,11295,,,1035,,,,,,
6924,,2131,Exact,25,25,110401,1000,2000,,1650,,,1440,,,,,,
6955,,2119,Exact,25,25,80401,2007,3200,3,0,Future payments,,1340,,,,,,
6971,,2136,Exact,25,25,140105,2002,6000,,11700,,,1148,,,,,,
7017,,2215,Exact,25,25,10104,3007,3825,1,1530,Arrears & Future payments,,860,,,,,,
7041,,2119,Exact,25,25,80300,2000,2120,2,1220,Arrears,,1856,,,,,,
7054,,2128,Exact,25,25,51200,3000,2580,2,2580,Arrears,,,,,,,,
7103,,2118,Exact,25,25,70402,1008,4000,1,3221,Arrears & Future payments,,1156,,,,,,
7114,,2134,Exact,25,25,804,1005,3150,3,1050,Arrears & Future payments,0,1000,,,,,,
7192,,2121,Exact,25,25,90100,5000,4000,3,6000,,,1268,,,,,,
7243,,2124,Exact,25,25,100200,3001,6000,5,1850,,,286,,,,,,808
7355,,2126,Exact,25,25,101002,1004,6000,5,6000,Arrears,,,,,,,,
7365,,2119,Exact,25,25,81400,3003,4000,1,2662.1,,,47,,,,,,
7405,,2122,Exact,25,25,92101,2004,5400,4,4800,Arrears,,,,,,,,
7430,,2136,Exact,25,25,140300,5007,4000,,12000,,,,,,,,,
7433,,2124,Exact,25,25,100100,3003,6000,1,4800,Arrears & Future payments,,1148,,,,,,
7470,,2128,Exact,25,25,50600,2001,6000,2,5000,Arrears,0,,,,,,,
7538,,2115,Exact,25,25,10802,2002,4000,3,1400,,,,,,,,,
7659,,2126,Exact,25,25,101102,2002,6000,,7500,Arrears,,,,,,,,249
7669,,2128,Exact,25,25,50200,4001,6000,3,6300,Arrears,,,,,,,,
7732,,2111,Exact,25,25,70202,1022,3759,3,0,Arrears & Future payments,,900,,,,,,
7761,,2111,Exact,25,25,70103,1001,4000,,2780,,,858,,,,,,
7787,,2124,Exact,25,25,100500,3000,3755,2,1900,Arrears & Future payments,,,,,,,,
7819,,2126,Exact,25,25,101101,3002,6000,,4953,Arrears,1200,1068,,,,,,
7839,,2128,Exact,25,25,51000,1000,6000,4,5100,Arrears & Future payments,,,,,,,,
7850,,2124,Exact,25,25,100300,1007,5500,4,4100,Arrears,,1268,,,,,,
7916,,2111,Exact,25,25,70202,1019,6000,3,4860,Arrears & Future payments,,,,,,,,
7978,,2111,Exact,25,25,70202,2002,3172,2,0,Arrears,,,,,,,,
8039,,2128,Exact,25,25,51000,1003,6000,3,2200,,,,,,,,,
8064,,2127,Exact,25,25,60501,5004,4000,2,0,Future payments,,3292,,,,,,
8067,,2132,Exact,25,25,130404,1002,6000,4,8375,Arrears,,199,,,,,,
8075,,2129,Exact,25,25,40401,1003,3440,4,1000,Arrears,,,,,,,,
8080,,2135,Exact,25,25,503,2001,1550,1,1500,Future payments,,,,,,,,
8086,,2132,Exact,25,25,130406,1003,6000,,5573,,,,,,,,,780
8088,,2121,Exact,25,25,82100,1001,6000,4,2538,Arrears & Future payments,,,,,,,,0
8096,,2119,Exact,25,25,81500,2004,3494,3,3512,Arrears,,,,,,,,
8100,,2131,Exact,25,25,110501,2002,3700,1,1850,Arrears & Future payments,,,,,,,,1068
8104,,2115,Exact,25,25,81001,4000,4000,3,1281,Arrears & Future payments,,,,,,,,
8106,,2122,Exact,25,25,92101,5001,4200,,0,,100,,,,,,,
8112,,2136,Exact,25,25,140300,1003,4000,3,2748,,,,,,,,,
8137,,2136,Exact,25,25,140300,2008,3000,,3000,,,,,,,,,
8156,,2128,Exact,25,25,50901,3006,4000,3,0,Arrears & Future payments,,1586,,,,,,
8162,,2111,Exact,25,25,70103,1001,4170,3,0,Arrears & Future payments,,,,,,,,
8168,,2131,Exact,25,25,110301,2015,6000,4,3300,Arrears & Future payments,,,,,,,,
8170,,2118,Exact,25,25,70402,1010,,,,,,,,,,,,
8174,,2122,Exact,25,25,91600,2005,4200,3,1400,Arrears & Future payments,,1204,,,,,,1056
8180,,2111,Exact,25,25,70202,2002,6000,,8020,Arrears,,899,,,,,,
8182,,2121,Exact,25,25,90300,2005,6000,3,4800,Arrears,,,,,,320,,
8187,,2124,Exact,25,25,100500,3006,6000,,8800,,,784,,,,,,
8198,,2128,Exact,25,25,50700,1003,5600,2,5600,Arrears,1200,,,,,,,
8223,,2111,Exact,25,25,70103,1001,2415,3,1895,,,884,,,,,,
8225,,2215,Exact,25,25,10104,3002,6000,1,4250,Arrears & Future payments,,,,,,,,800
8231,,2127,Exact,25,25,60601,1000,5272,4,3954,Arrears & Future payments,,,,,,,,
8238,,2128,Exact,25,25,50200,3000,6000,6,4710,Arrears,300,,,,,,,
8244,,2118,Exact,25,25,70402,1010,4000,3,1125,,,2124,,,,,,
8248,,2128,Exact,25,25,50600,2007,6000,1,4000,Arrears & Future payments,2400,,,,,,,
8261,,2126,Exact,25,25,101002,2019,2040,2,5000,Arrears,,,,,,,,
8283,,2125,Exact,25,25,91001,1004,6000,1,6500,Arrears,,,,,,,,
8300,,2126,Exact,25,25,101101,1001,6000,,10800,Arrears,,1464,,,,,,
8321,,2125,Exact,25,25,91100,5003,4000,,3900,Arrears,0,3900,,,,,,
8327,,2128,Exact,25,25,50700,3005,6000,,7500,Arrears,,2068,,,,,,
8337,,2125,Exact,25,25,91400,1001,6000,4,4000,Arrears,,,,,,,,
8339,,2125,Exact,25,25,90700,1008,4000,2,2800,Arrears & Future payments,,,,,,,,
8356,,2132,Exact,25,25,130406,2001,4000,,2400,Arrears & Future payments,,,,,,,,
8359,,2134,Exact,25,25,704,4001,3789,1,1263,,,,,,,,,
8368,,2111,Exact,25,25,70202,1005,4000,2,16239.69,,500,1068,,,,,,
8370,,2128,Exact,25,25,50300,1015,3600,3,2400,,,268,,,,,,
8377,,2121,Exact,25,25,82100,3002,6000,1,5000,Arrears & Future payments,,1408,,,,,,
8383,,2128,Exact,25,25,50700,1001,4000,,4900,Arrears,,,,,,,,
8393,,2121,Exact,25,25,82100,1001,6000,,7691,Arrears,,1492,,,,,,
8414,,2128,Exact,25,25,50700,2001,4000,3,4200,,1050,,,,,,,
8426,,2111,Exact,25,25,70103,1001,6000,2,5079,Arrears & Future payments,,,,,,410,,501
8440,,2130,Exact,25,25,81200,2000,6000,3,1558,Arrears & Future payments,,,,,,,,
8448,,2125,Exact,25,25,91200,3001,6000,,8600,Arrears,,2481,,,,,,
8454,,2136,Exact,25,25,140202,1004,5200,4,600,Arrears & Future payments,,400,,,,,,
8458,,2125,Exact,25,25,91100,4002,,,1800,,0,,,,800,,,
8467,,2128,Exact,25,25,50101,3005,4800,3,1800,Arrears,,,,,,,,
8471,,2128,Exact,25,25,50700,1002,5273,6,3473,Arrears,,,,,,,,0
8486,,2130,Exact,25,25,81200,2000,5498,4,2800,Arrears & Future payments,,,,,,,,
8492,,2114,Exact,25,25,20304,1008,3375,3,0,Arrears & Future payments,,1616,,,,,,
8500,,2124,Exact,25,25,92400,4000,4000,,1519,Arrears & Future payments,,2163,,,,,,
8502,,2130,Exact,25,25,120400,5010,850,1,2000,Future payments,,1000,,,,,,
8503,,2125,Exact,25,25,91100,3004,6000,3,1800,Future payments,,1080,,,,,,
8506,,2111,Exact,25,25,70202,1000,3483,3,0,Arrears,,1420,,,,,,
8507,,2111,Exact,25,25,70202,1000,969,1,0,Future payments,,1648,,473,,,,
8508,,2121,Exact,25,25,81900,4010,4800,4,3600,Arrears & Future payments,,,,,,,,
8510,,2122,Exact,25,25,91700,1003,5250,3,1750,Arrears,,,,,,,,
8511,,2122,Exact,25,25,91700,1003,4000,2,3932,Arrears,,800,,,,,,
8515,,2122,Exact,25,25,91500,2009,4000,2,3800,,,,200,,,,,
8517,,2113,Exact,25,25,30200,1003,6000,3,6322.9,Arrears,,,,,,,,
8521,,2215,Exact,25,25,10205,2001,2900,1,0,Arrears,,,,,,,,
8522,,2121,Exact,25,25,90200,3000,4200,,0,Arrears,,1040,,,,,,
8526,,2122,Exact,25,25,100603,2005,3800,2,3800,Arrears,,1200,,,,,,
8527,,2125,Exact,25,25,91800,2004,4000,1,3000,Arrears & Future payments,,1048,,,,,,
8528,,2135,Exact,25,25,604,2003,4000,2,0,Arrears & Future payments,,,,,,,,
8529,,2136,Exact,25,25,140300,5007,6000,3,4120,,0,,,,,,,
8530,,2136,Exact,25,25,140300,5007,1966,1,1966,Arrears,,,,,,,,
8536,,2122,Exact,25,25,92101,1007,2525,,1225,,,,,,,,,
8537,,2128,Exact,25,25,51101,1004,6000,,4000,Arrears & Future payments,1200,,,,,,,
8538,,2128,Exact,25,25,51101,1004,4000,3,4000,Arrears,,,,,,,,
8542,,2128,Exact,25,25,50700,3005,5200,4,5200,Arrears,1516,,,,,,,
8544,,2136,Exact,25,25,140107,1019,,,4300,,,,,,,,,
8545,,2131,Exact,25,25,110301,1002,6000,4,4800,Arrears,,0,,,,,,
8550,,2127,Exact,25,25,61201,1014,3960,4,3600,,,700,,,,,,
8552,,2122,Exact,25,25,92101,5002,,,6000,,,,,,,,,
8553,,2124,Exact,25,25,100500,2006,3150,,3150,Arrears,,,,,,,,
8554,,2136,Exact,25,25,140300,1003,6000,4,5685,Arrears,,,,,,,,
8555,,2136,Exact,25,25,140300,1003,4000,2,2266,,,,,,,,,
8556,,2111,Exact,25,25,70202,1002,3900,3,0,Future payments,,552,,,,,,
8558,,2125,Exact,25,25,90400,2000,3800,1,1900,Arrears & Future payments,,,,,,,,0
8561,,2136,Exact,25,25,140300,1006,4000,4,105,,,190,,,,,,
8562,,2128,Exact,25,25,51101,1004,6000,,4000,Arrears & Future payments,,,,,,,,
