,id,original_zip,match_kind,state_code,county_code,tract_code,block_code,RRF Award Amount ,No of months of assistance,Rent owing,RRF Award Type ,Mthly Self Employment,Mthly Unemployment,Mthly Interest or Dividend,Mthly Pension or Retirement,Mthly TANF/Public Assistance,Mthly Alimony income,Mthly Armed Forces income,Mthly Other income
0,7,2119,Exact,25,25,81400,3003,6000.0,0.0,9444.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,2124,Exact,25,25,100300,3005,5700.0,3.0,1900.0,Arrears & Future payments,0.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0
2,56,2119,Exact,25,25,80100,1051,3750.0,6.0,4375.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,63,2128,Exact,25,25,51200,3000,4000.0,1.0,4000.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0
4,75,2128,Exact,25,25,50101,3001,6000.0,0.0,7900.0,Arrears,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,102,2128,Exact,25,25,50700,3005,6000.0,0.0,7600.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,133,2128,Exact,25,25,50700,1003,2000.0,0.0,1404.0,Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,154,2124,Exact,25,25,100500,5005,2350.0,0.0,4000.0,Arrears,0.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0
8,161,2127,Exact,25,25,60800,3000,3600.0,3.0,4800.0,0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
9,269,2128,Exact,25,25,50500,1003,4950.0,3.0,3300.0,0,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0
10,314,2124,Exact,25,25,100601,3011,6000.0,3.0,0.0,Arrears & Future payments,0.0,1864.0,0.0,0.0,0.0,0.0,0.0,0.0
11,410,2121,Exact,25,25,91900,2002,0.0,0.0,12362.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,426,2131,Exact,25,25,110607,3000,4000.0,3.0,9116.0,0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
13,440,2128,Exact,25,25,50901,2003,6000.0,0.0,4500.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0
14,534,2124,Exact,25,25,92300,3008,6000.0,0.0,10703.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,806,2126,Exact,25,25,101102,3002,4000.0,2.0,0.0,0,0.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
16,814,2111,Exact,25,25,70103,1001,4170.0,3.0,0.0,Future payments,0.0,3320.0,0.0,0.0,0.0,0.0,0.0,0.0
17,815,2121,Exact,25,25,90300,2006,3200.0,2.0,1600.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,889,2119,Exact,25,25,81500,2004,2718.0,0.0,3618.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1006,2128,Exact,25,25,50101,1002,6000.0,3.0,7200.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1012,2128,Exact,25,25,50300,3002,6000.0,0.0,6518.0,Arrears,500.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1057,2125,Exact,25,25,91300,1004,4000.0,2.0,4000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1135,2128,Exact,25,25,50200,4001,6000.0,3.0,6000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1140,2126,Exact,25,25,101101,3008,5250.0,3.0,3000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1243,2126,Exact,25,25,101001,5001,6000.0,0.0,16450.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1288,2124,Exact,25,25,100200,3006,4000.0,2.0,4100.0,0,0.0,0.0,0.0,802.58,0.0,0.0,0.0,0.0
26,1367,2122,Exact,25,25,100700,1004,3000.0,3.0,0.0,Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1384,2136,Exact,25,25,140400,5006,1800.0,1.0,2000.0,Arrears,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1568,2128,Exact,25,25,51200,2001,4000.0,3.0,1500.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1596,2119,Exact,25,25,80401,2003,4000.0,3.0,1724.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1606,2128,Exact,25,25,50200,2002,6000.0,5.0,3985.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
31,1613,2130,Exact,25,25,81101,2000,4929.0,3.0,2000.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1659,2128,Exact,25,25,50101,3005,3411.0,3.0,0.0,Arrears & Future payments,0.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1705,2128,Exact,25,25,51000,2010,6000.0,2.0,2750.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0
34,1787,2136,Exact,25,25,140400,6001,4000.0,0.0,2312.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1789,2118,Exact,25,25,70402,1010,3648.0,0.0,2250.0,0,0.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1841,2128,Exact,25,25,50200,4002,6000.0,1.0,7200.0,Arrears,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1867,2128,Exact,25,25,50101,3005,5040.0,4.0,0.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1887,2121,Exact,25,25,90100,2004,6000.0,2.0,4522.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1894,2128,Exact,25,25,50700,3005,5200.0,1.0,3900.0,Arrears & Future payments,0.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1936,2128,Exact,25,25,51101,1004,6000.0,3.0,0.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2044,2128,Exact,25,25,50300,3002,4200.0,6.0,5600.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2151,2128,Exact,25,25,50200,1006,5670.0,3.0,5670.0,Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2177,2135,Exact,25,25,401,4004,5310.0,2.0,1755.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2244,2128,Exact,25,25,50901,2006,6000.0,3.0,4100.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2248,2119,Exact,25,25,81700,3011,6000.0,0.0,8100.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2279,2215,Exact,25,25,10205,3000,2984.0,2.0,1492.0,Arrears & Future payments,0.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2294,2128,Exact,25,25,51000,3002,3200.0,4.0,1600.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2370,2128,Exact,25,25,50600,2007,4800.0,3.0,4800.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2408,2121,Exact,25,25,90200,1001,4000.0,2.0,3250.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2430,2128,Exact,25,25,50700,3003,0.0,0.0,6000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2509,2128,Exact,25,25,50101,3002,2800.0,4.0,1400.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2653,2134,Exact,25,25,604,2001,4020.0,2.0,0.0,Arrears,0.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2654,2126,Exact,25,25,101002,1003,5200.0,2.0,25000.0,Arrears,0.0,267.0,0.0,0.0,0.0,0.0,0.0,2194.0
54,2682,2134,Exact,25,25,805,2004,4000.0,3.0,700.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2727,2136,Exact,25,25,140300,3007,4000.0,2.0,4200.0,Arrears,0.0,1068.0,0.0,0.0,0.0,0.0,0.0,1068.0
56,2832,2128,Exact,25,25,50500,1003,4500.0,3.0,4500.0,0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2884,2132,Exact,25,25,130200,1000,2000.0,1.0,2000.0,Arrears,0.0,0.0,0.0,0.0,0.0,3371.0,0.0,0.0
58,2938,2136,Exact,25,25,140107,2000,4000.0,1.0,2500.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2952,2128,Exact,25,25,50200,4001,3750.0,3.0,2500.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3029,2128,Exact,25,25,51000,3002,3949.0,3.0,1560.0,Arrears,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3186,2124,Exact,25,25,100400,1003,6000.0,2.0,1300.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,3191,2119,Exact,25,25,80401,2003,0.0,0.0,6289.7,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0
63,3196,2128,Exact,25,25,51200,1004,4000.0,3.0,1295.0,Arrears,0.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0
64,3242,2126,Exact,25,25,101002,2014,6000.0,0.0,4500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,3289,2125,Exact,25,25,91300,1008,4000.0,2.0,2000.0,0,0.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0
66,3339,2124,Exact,25,25,100300,1007,3800.0,0.0,5700.0,Arrears,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,3340,2129,Exact,25,25,40300,3001,4000.0,2.0,2000.0,0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
68,3353,2111,Exact,25,25,70103,1001,0.0,0.0,5820.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,3356,2114,Exact,25,25,20302,1000,4290.0,0.0,4290.0,0,0.0,3292.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3380,2136,Exact,25,25,140300,1003,3025.0,0.0,1988.0,0,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0
71,3394,2125,Exact,25,25,91500,1003,6000.0,0.0,6000.0,Arrears,0.0,1922.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3459,2128,Exact,25,25,51200,3000,5477.0,4.0,3000.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,3474,2111,Exact,25,25,70202,1022,2704.0,2.0,1359.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,3612,2132,Exact,25,25,130300,2000,4200.0,3.0,2800.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3672,2128,Exact,25,25,50700,1003,0.0,0.0,15400.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3676,2122,Exact,25,25,91700,1003,4000.0,3.0,1540.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3678,2128,Exact,25,25,50200,3000,2050.0,1.0,2000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,3717,2128,Exact,25,25,50101,2005,3750.0,3.0,0.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,3812,2128,Exact,25,25,50400,1003,4000.0,4.0,3000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4097,2134,Exact,25,25,703,2006,0.0,0.0,6769.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4175,2125,Exact,25,25,91400,1001,4000.0,2.0,2687.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4182,2122,Exact,25,25,92101,3013,6000.0,6.0,6000.0,Arrears,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4197,2136,Exact,25,25,140400,6001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,4214,2129,Exact,25,25,40801,3001,2132.0,0.0,0.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,4285,2119,Exact,25,25,81302,1001,3645.0,3.0,3000.0,Arrears,0.0,1168.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4337,2128,Exact,25,25,50300,2004,6000.0,3.0,7989.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,4339,2125,Exact,25,25,90400,4003,6000.0,5.0,7200.0,Arrears,0.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0
88,4466,2128,Exact,25,25,50500,1005,2000.0,0.0,2200.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,4472,2128,Exact,25,25,50200,4002,6000.0,0.0,6000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4482,2113,Exact,25,25,30400,1004,3300.0,3.0,1100.0,Arrears,0.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0
91,4497,2119,Exact,25,25,81301,2001,5667.25,4.0,4303.75,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,4560,2128,Exact,25,25,51000,1018,2000.0,0.0,5600.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,4658,2126,Exact,25,25,101002,3008,4000.0,0.0,4000.0,Arrears,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
94,4659,2124,Exact,25,25,92000,4005,2900.0,2.0,1450.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4852,2127,Exact,25,25,60101,2001,4500.0,4.0,3000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,4907,2125,Exact,25,25,91500,1002,4000.0,3.0,4800.0,0,0.0,1136.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4941,2128,Exact,25,25,50700,3004,6000.0,0.0,6000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4949,2128,Exact,25,25,50101,3000,4000.0,2.0,4000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,4965,2128,Exact,25,25,50200,1006,5100.0,3.0,3400.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,5124,2125,Exact,25,25,90901,2008,6000.0,4.0,8700.0,0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,300.0
101,5136,2128,Exact,25,25,50600,2001,6000.0,3.0,7025.0,Arrears,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,5192,2128,Exact,25,25,50901,2005,2400.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,5269,2122,Exact,25,25,100700,4005,6000.0,0.0,6000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,5275,2121,Exact,25,25,82100,1006,1490.0,0.0,700.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
105,5287,2118,Exact,25,25,70901,1004,4200.0,6.0,2100.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,5369,2125,Exact,25,25,90400,4000,2848.0,3.0,0.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,5389,2128,Exact,25,25,51101,1000,4000.0,0.0,7500.0,Arrears,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0
108,5390,2128,Exact,25,25,50200,1005,4000.0,2.0,3400.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,5449,2136,Exact,25,25,140400,1000,4000.0,3.0,7797.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,5459,2125,Exact,25,25,91800,1002,6000.0,0.0,6500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,5500,2128,Exact,25,25,50200,2004,5700.0,2.0,3800.0,Arrears,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0
112,5532,2124,Exact,25,25,100800,1003,6000.0,6.0,4000.0,Arrears,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
113,5601,2119,Exact,25,25,81400,2003,4000.0,4.0,11000.0,0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
114,5635,2128,Exact,25,25,50101,3002,0.0,0.0,1700.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,5670,2128,Exact,25,25,51101,4004,6000.0,3.0,4000.0,Arrears,0.0,1368.0,0.0,0.0,0.0,0.0,0.0,0.0
116,5727,2128,Exact,25,25,50901,1007,6000.0,3.0,9600.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,5768,2134,Exact,25,25,806,2000,6000.0,0.0,4554.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,5853,2124,Exact,25,25,92300,3006,6000.0,0.0,5000.0,0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
119,5881,2125,Exact,25,25,91400,1001,6000.0,0.0,10179.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,5928,2124,Exact,25,25,100100,3004,6000.0,5.0,6925.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,5946,2128,Exact,25,25,51200,2003,6000.0,3.0,1500.0,Arrears,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,5968,2121,Exact,25,25,81900,4004,4000.0,3.0,1800.0,Arrears & Future payments,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0
123,6061,2128,Exact,25,25,51000,1010,4000.0,2.0,2000.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,6071,2128,Exact,25,25,50400,2006,6000.0,0.0,8300.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,6072,2125,Exact,25,25,90700,4010,3622.0,5.0,1500.0,Arrears & Future payments,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0
126,6074,2125,Exact,25,25,90400,4004,6000.0,0.0,1.0,0,0.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0
127,6079,2126,Exact,25,25,101002,3000,6000.0,3.0,5235.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,6314,2136,Exact,25,25,140300,6005,3207.0,2.0,2000.0,0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0
129,6372,2132,Exact,25,25,130404,1002,4000.0,1.0,2500.0,Arrears & Future payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,6632,2126,Exact,25,25,101102,4004,6000.0,6.0,12300.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,6710,2128,Exact,25,25,50901,3006,2100.0,2.0,0.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,6776,2125,Exact,25,25,90700,1003,4000.0,0.0,6400.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,6786,2128,Exact,25,25,51200,2001,2000.0,1.0,4950.0,Arrears,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0
134,6884,2134,Exact,25,25,704,3002,6000.0,3.0,11295.0,0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0
135,6924,2131,Exact,25,25,110401,1000,2000.0,0.0,1650.0,0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0
136,6955,2119,Exact,25,25,80401,2007,3200.0,3.0,0.0,Future payments,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0
137,6971,2136,Exact,25,25,140105,2002,6000.0,0.0,11700.0,0,0.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0
138,7017,2215,Exact,25,25,10104,3007,3825.0,1.0,1530.0,Arrears & Future payments,0.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0
139,7041,2119,Exact,25,25,80300,2000,2120.0,2.0,1220.0,Arrears,0.0,1856.0,0.0,0.0,0.0,0.0,0.0,0.0
140,7054,2128,Exact,25,25,51200,3000,2580.0,2.0,2580.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,7103,2118,Exact,25,25,70402,1008,4000.0,1.0,3221.0,Arrears & Future payments,0.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0
142,7114,2134,Exact,25,25,804,1005,3150.0,3.0,1050.0,Arrears & Future payments,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
143,7192,2121,Exact,25,25,90100,5000,4000.0,3.0,6000.0,0,0.0,1268.0,0.0,0.0,0.0,0.0,0.0,0.0
144,7243,2124,Exact,25,25,100200,3001,6000.0,5.0,1850.0,0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,808.0
145,7355,2126,Exact,25,25,101002,1004,6000.0,5.0,6000.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,7365,2119,Exact,25,25,81400,3003,4000.0,1.0,2662.1,0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
147,7405,2122,Exact,25,25,92101,2004,5400.0,4.0,4800.0,Arrears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,7430,2136,Exact,25,25,140300,5007,4000.0,0.0,12000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
